,Unnamed: 0,Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Year,geometry
491,485,Belgium,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018,"POLYGON ((6.15665815595878 50.80372101501058, 6.043073357781111 50.128051662794235, 5.782417433300907 50.09032786722122, 5.674051954784829 49.529483547557504, 4.799221632515724 49.98537303323637, 4.286022983425084 49.907496649772554, 3.588184441755658 50.37899241800356, 3.123251580425688 50.78036326761455, 2.658422071960274 50.796848049515745, 2.513573032246143 51.14850617126183, 3.314971144228537 51.345780951536085, 3.31501148496416 51.34577662473805, 3.314971144228537 51.34575511331991, 4.047071160507528 51.26725861266857, 4.973991326526914 51.47502370869813, 5.606975945670001 51.03729848896978, 6.15665815595878 50.80372101501058))"
492,486,Luxembourg,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,2018,"POLYGON ((6.043073357781111 50.128051662794235, 6.242751092156993 49.90222565367873, 6.186320428094177 49.463802802114515, 5.897759230176348 49.44266714130711, 5.674051954784829 49.529483547557504, 5.782417433300907 50.09032786722122, 6.043073357781111 50.128051662794235))"
493,487,United States,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2018,
494,488,Israel,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,2018,"POLYGON ((35.71991824722275 32.709192409794866, 35.54566531753454 32.393992011030576, 35.183930291491436 32.53251068778894, 34.97464074070933 31.866582343059722, 35.22589155451243 31.754341132121766, 34.970506626125996 31.61677846936081, 34.92740848159457 31.353435370401414, 35.397560662586045 31.489086005167582, 35.420918409981965 31.100065822874356, 34.92260257339143 29.501326198844524, 34.823243288783814 29.76108076171822, 34.26544 31.21936, 34.26543474464621 31.21935730952032, 34.26543338393569 31.219360866820153, 34.55637169773891 31.548823960896996, 34.48810713068136 31.60553884533732, 34.75258711115117 32.07292633720117, 34.95541710789678 32.82737641044638, 35.098457472480675 33.080539252244265, 35.126052687324545 33.09090037691878, 35.460709262846706 33.08904002535628, 35.55279666519081 33.26427480725802, 35.82110070165024 33.2774264592763, 35.836396925608625 32.86812327730851, 35.70079796727475 32.71601369885738, 35.71991824722275 32.709192409794866))"
495,488,Israel,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,2018,"POLYGON ((35.397560662586045 31.489086005167582, 34.92740848159457 31.353435370401414, 34.970506626125996 31.61677846936081, 35.22589155451243 31.754341132121766, 34.97464074070933 31.866582343059722, 35.183930291491436 32.53251068778894, 35.54566531753454 32.393992011030576, 35.5452519060762 31.78250478772084, 35.397560662586045 31.489086005167582))"
496,489,United Arab Emirates,20,6.774,2.096,0.776,0.67,0.284,0.112,0.186,2018,"POLYGON ((51.57951867046327 24.245497137951105, 51.757440626844186 24.29407298430547, 51.79438927593287 24.019826158132506, 52.57708051942561 24.177439276622707, 53.404006788960146 24.15131684009917, 54.00800092958758 24.121757920828216, 54.69302371604863 24.79789236093509, 55.43902469261414 25.43914520924494, 56.07082075381456 26.05546417897398, 56.261041701080956 25.71460643157677, 56.396847365144005 24.924732163995486, 55.88623253766801 24.920830593357447, 55.804118686756226 24.269604193615265, 55.98121382022046 24.13054291431783, 55.52863162620824 23.933604030853502, 55.525841098864475 23.524869289640932, 55.234489373602884 23.110992743415324, 55.208341098863194 22.708329982997046, 55.006803012924905 22.496947536707136, 52.000733270074335 23.00115448657894, 51.61770755392698 24.01421926522883, 51.57951867046327 24.245497137951105))"
497,490,Czech Republic,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2018,
498,491,Malta,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,2018,
499,492,France,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2018,"POLYGON ((165.77998986232637 -21.08000497811563, 166.59999148993384 -21.700018812753527, 167.1200114280869 -22.15999073658349, 166.7400346214448 -22.39997608814695, 166.18973229396866 -22.129708347260454, 165.47437544175222 -21.679606621998232, 164.82981530177568 -21.14981983814195, 164.16799523341365 -20.444746595951628, 164.029605747736 -20.105645847252354, 164.45996707586272 -20.1200118954295, 165.02003624904205 -20.45999114347773, 165.46000939357512 -20.80002206795826, 165.77998986232637 -21.08000497811563))"
500,492,France,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2018,"POLYGON ((68.935 -48.625, 69.58 -48.94, 70.525 -49.065, 70.56 -49.255, 70.28 -49.71, 68.745 -49.775, 68.72 -49.2425, 68.8675 -48.83, 68.935 -48.625))"
501,493,Mexico,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2018,"POLYGON ((-117.12775999999985 32.53534, -115.99135 32.61239000000012, -114.72139 32.72083, -114.815 32.52528, -113.30498 32.03914, -111.02361 31.33472, -109.035 31.341940000000136, -108.24194 31.34222, -108.24 31.754853718166373, -106.50758999999988 31.75452, -106.1429 31.39995, -105.63159 31.08383, -105.03737 30.64402, -104.70575 30.12173, -104.4569699999999 29.57196, -103.94 29.27, -103.11 28.97, -102.48 29.76, -101.6624 29.7793, -100.9576 29.380710000000136, -100.45584 28.69612000000012, -100.11 28.110000000000127, -99.52 27.54, -99.3 26.84, -99.02 26.37, -98.24 26.06, -97.53 25.84, -97.14000830767071 25.8699974634784, -97.52807247596655 24.9921440699203, -97.70294552284224 24.272343044526735, -97.77604183631905 22.93257986092766, -97.87236670611111 22.44421173755336, -97.69904395220419 21.898689480064263, -97.38895952023677 21.411018988525825, -97.18933346229329 20.635433254473128, -96.52557552772032 19.890930894444068, -96.29212724484177 19.320371405509547, -95.90088497595997 18.82802419684873, -94.83906348344271 18.562717393462208, -94.42572953975622 18.144370835843347, -93.5486512926824 18.423836981677937, -92.7861138577835 18.52483856859226, -92.0373481920904 18.704569200103435, -91.40790340855926 18.87608327888023, -90.77186987991087 19.28412038825678, -90.53358985061305 19.8674181177513, -90.45147599970124 20.707521877520435, -90.2786183336849 20.999855454995554, -89.60132117385149 21.26172577563449, -88.54386633986286 21.49367544197662, -87.65841651075772 21.45884552661198, -87.05189022494807 21.5435431991383, -86.81198238803296 21.331514797444754, -86.84590796583262 20.849864610268355, -87.38329118523586 20.25540477139873, -87.62105445021075 19.64655304613592, -87.43675045444178 19.47240346931227, -87.58656043165593 19.04013011319074, -87.83719112827151 18.25981598558343, -88.09066402866318 18.51664785407405, -88.3000310940937 18.4999822046599, -88.49012285027935 18.486830552641607, -88.84834387892661 17.883198147040233, -89.02985734735182 18.001511338772488, -89.15090938999553 17.95546763760042, -89.14308041050333 17.808318996649405, -90.06793351923098 17.819326076727478, -91.00151994501596 17.81759491624571, -91.00226925328421 17.25465770107418, -91.45392127151516 17.252177232324172, -91.08167009150065 16.918476670799407, -90.71182186558772 16.687483018454728, -90.60084672724093 16.47077789963879, -90.43886695022204 16.410109768128095, -90.46447262242266 16.069562079324655, -91.74796017125595 16.066564846251765, -92.2292486234063 15.251446641495875, -92.08721594925207 15.064584662328441, -92.20322953974733 14.830102850804069, -92.22775000686983 14.538828640190928, -93.35946387406176 15.615429592343673, -93.87516883011853 15.940164292865916, -94.69165646033014 16.200975246642884, -95.25022701697304 16.128318182840644, -96.05338212765332 15.752087917539598, -96.55743404822829 15.653515122942792, -97.26359249549665 15.917064927631316, -98.01302995480961 16.107311713113916, -98.94767574745651 16.566043402568766, -99.69739742714705 16.70616404872817, -100.82949886758132 17.17107107184205, -101.66608862995446 17.649026394109626, -101.91852800170022 17.916090196193977, -102.47813208698892 17.975750637275098, -103.50098954955808 18.29229462327885, -103.91752743204682 18.74857168220001, -104.9920096504755 19.316133938061682, -105.49303849976144 19.946767279535436, -105.73139604370766 20.434101874264115, -105.39777299683135 20.531718654863425, -105.50066077352443 20.81689504646613, -105.27075232625793 21.07628489835514, -105.26581722697404 21.42210358325235, -105.6031609769754 21.87114594165257, -105.69341386597313 22.269080308516152, -106.02871639689897 22.773752346278627, -106.90998043498837 23.767774359628902, -107.91544877809139 24.54891531015295, -108.40190487347098 25.172313951105934, -109.26019873740665 25.58060944264406, -109.44408932171734 25.82488393808768, -109.29164384645628 26.442934068298428, -109.80145768923182 26.676175645447927, -110.3917317370857 27.16211497650454, -110.64101884646163 27.859876003525528, -111.17891883018785 27.94124054616907, -111.75960689985163 28.46795258230395, -112.2282346260904 28.95440867768349, -112.27182369672869 29.266844387320077, -112.80959448937398 30.02111359305235, -113.16381059451868 30.786880804969428, -113.14866939985717 31.170965887978923, -113.87188106978186 31.567608344035193, -114.20573666060352 31.524045111613134, -114.77645117883503 31.79953217216115, -114.93669979537214 31.393484605427602, -114.7712318591735 30.913617255165263, -114.67389929895177 30.162681179315996, -114.33097449426293 29.750432440707414, -113.58887508833544 29.061611436473015, -113.42405310754054 28.82617361095123, -113.27196936730553 28.7547826197399, -113.14003943566439 28.41128937429596, -112.9622983467965 28.42519033458251, -112.76158708377488 27.780216783147523, -112.45791052941166 27.52581370697476, -112.2449519519368 27.17172679291076, -111.61648902061921 26.662817287700477, -111.28467464887302 25.732589830014433, -110.9878193835724 25.294606228124564, -110.71000688357134 24.82600434010186, -110.65504899782889 24.298594672131117, -110.17285620811344 24.265547593680424, -109.77184709352855 23.811182562754198, -109.40910437705571 23.36467234953625, -109.43339230023292 23.1855876734287, -109.85421932660171 22.818271592698068, -110.03139197471444 22.823077500901206, -110.29507097048366 23.43097321216669, -110.94950130902805 24.000964260345995, -111.6705684070127 24.484423122652515, -112.18203589562148 24.738412787367167, -112.14898881717085 25.47012523040405, -112.3007108223797 26.012004299416617, -112.77729671919155 26.32195954030317, -113.46467078332194 26.768185533143424, -113.59672990604383 26.639459540304472, -113.84893673384425 26.90006378835244, -114.46574662968004 27.142090358991368, -115.05514217818501 27.72272675222291, -114.98225257043742 27.798200181585116, -114.57036556685495 27.74148529714489, -114.19932878299926 28.115002549750557, -114.16201839888464 28.566111965442303, -114.93184221073665 29.27947927501549, -115.518653937627 29.5563615992354, -115.88736528202958 30.180793768834178, -116.25835038945291 30.836464341753583, -116.72152625208497 31.635743720012044, -117.12775999999985 32.53534))"
502,494,Chile,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2018,
503,495,Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2018,"POLYGON ((121.77781782438993 24.3942735865194, 121.17563235889274 22.790857245367167, 120.74707970589623 21.970571397382113, 120.22008344938368 22.81486094816674, 120.1061885926124 23.556262722258236, 120.69467980355225 24.538450832613737, 121.49504438688878 25.295458889257386, 121.95124393116146 24.997595933527037, 121.77781782438993 24.3942735865194))"
504,496,Panama,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2018,"POLYGON ((-77.35336076527386 8.67050466555807, -77.47472286651133 8.524286200388218, -77.24256649444008 7.935278225125444, -77.43110795765699 7.638061224798734, -77.7534138658614 7.709839789252143, -77.88157141794525 7.223771267114785, -78.21493608266012 7.512254950384161, -78.42916073272607 8.052041123888927, -78.18209570993864 8.319182440621773, -78.4354652574657 8.38770538984079, -78.62212053090394 8.718124497915028, -79.12030717641375 8.996092027213024, -79.55787736684519 8.932374986197146, -79.76057817251005 8.5845150822244, -80.16448116730334 8.333315944853595, -80.38265906443962 8.298408514840432, -80.4806892564973 8.09030752200107, -80.00368994822716 7.547524115423372, -80.276670701809 7.419754136581716, -80.42115800649708 7.271571966984765, -80.8864009264208 7.220541490096537, -81.05954281281473 7.817921047390597, -81.18971574575795 7.64790558515034, -81.51951473664468 7.706610012233909, -81.72131120474447 8.108962714058435, -82.13144120962892 8.175392767769637, -82.39093441438257 8.29236237226229, -82.82008134635042 8.290863755725823, -82.85095801464482 8.073822740099956, -82.96578304719736 8.225027980985985, -82.91317643912421 8.42351715741907, -82.82977067740516 8.62629547773237, -82.86865719270477 8.807266343618522, -82.71918311230053 8.925708726431495, -82.92715491405916 9.074330145702916, -82.93289099804358 9.476812038608173, -82.54619625520348 9.566134751824677, -82.18712256542341 9.20744863528678, -82.20758643261097 8.9955752628901, -81.80856686066929 8.950616766796173, -81.71415401887204 9.031955471223583, -81.43928707551154 8.786234035675719, -80.94730160187676 8.858503526235907, -80.52190121125008 9.111072089062432, -79.91459977895599 9.31276520429762, -79.57330278188431 9.611610012241528, -79.02119177927793 9.552931423374105, -79.05845048696037 9.454565334506526, -78.50088762074719 9.420458889193881, -78.05592770049802 9.2477304142583, -77.72951351592641 8.946844387238869, -77.35336076527386 8.67050466555807))"
505,497,Brazil,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2018,"POLYGON ((-53.373661668498244 -33.768377780900764, -53.6505439927181 -33.20200408298183, -53.209588995971544 -32.727666110974724, -53.78795162618219 -32.047242526987624, -54.57245154480512 -31.494511407193748, -55.601510179249345 -30.853878676071393, -55.97324459494094 -30.883075860316303, -56.976025763564735 -30.109686374636127, -57.62513342958296 -30.21629485445426, -56.29089962423908 -28.852760512000895, -55.16228634298457 -27.881915378533463, -54.490725267135524 -27.47475676850579, -53.64873531758789 -26.92347258881609, -53.628348965048744 -26.124865004177472, -54.13004960795439 -25.547639255477254, -54.625290696823576 -25.739255466415514, -54.42894609233059 -25.162184747012166, -54.29347632507745 -24.570799655863965, -54.29295956075452 -24.02101409271073, -54.65283423523513 -23.83957813893396, -55.02790178080955 -24.00127369557523, -55.40074723979542 -23.956935316668805, -55.517639329639636 -23.571997572526637, -55.610682745981144 -22.655619398694846, -55.79795813660691 -22.356929620047822, -56.47331743022939 -22.086300144135283, -56.8815095689029 -22.28215382252148, -57.937155727761294 -22.090175876557172, -57.8706739976178 -20.73268767668195, -58.166392381408045 -20.176700941653678, -57.85380164247451 -19.96999521248619, -57.949997321185826 -19.40000416430682, -57.67600887717431 -18.96183969490403, -57.49837114117099 -18.174187513911292, -57.734558274961 -17.55246835700777, -58.28080400250225 -17.271710300366017, -58.38805843772404 -16.877109063385276, -58.24121985536668 -16.299573256091293, -60.158389655179036 -16.258283786690086, -60.54296566429515 -15.093910414289596, -60.251148851142936 -15.07721892665932, -60.26432634137737 -14.645979099183641, -60.45919816755003 -14.354007256734555, -60.503304002511136 -13.775954685117659, -61.08412126325565 -13.479383640194598, -61.71320431176078 -13.489202162330052, -62.127080857986385 -13.198780612849724, -62.803060268796386 -13.000653171442686, -63.19649878605057 -12.627032565972435, -64.3163529120316 -12.461978041232193, -65.40228146021303 -11.566270440317155, -65.32189876978302 -10.895872084194679, -65.44483700220539 -10.511451104375432, -65.33843522811642 -9.761987806846392, -66.6469083319628 -9.931331475466862, -67.17380123561074 -10.306812432499612, -68.04819230820539 -10.712059014532485, -68.27125362819326 -11.01452117273682, -68.78615759954948 -11.03638030359628, -69.52967810736496 -10.951734307502194, -70.0937522040469 -11.123971856331012, -70.54868567572841 -11.009146823778465, -70.48189388699117 -9.490118096558845, -71.30241227892154 -10.079436130415374, -72.18489071316985 -10.053597914269432, -72.56303300646564 -9.520193780152717, -73.22671342639016 -9.462212823121234, -73.01538265653255 -9.032833347208062, -73.57105933296707 -8.424446709835834, -73.98723548042966 -7.523829847853065, -73.7234014553635 -7.340998630404414, -73.72448666044164 -6.91859547285064, -73.1200274319236 -6.629930922068239, -73.21971126981461 -6.089188734566078, -72.9645072089412 -5.741251315944893, -72.89192765978726 -5.274561455916981, -71.74840572781655 -4.593982842633011, -70.92884334988358 -4.401591485210368, -70.7947688463023 -4.251264743673303, -69.89363521999663 -4.298186944194327, -69.44410193548961 -1.556287123219818, -69.42048580593223 -1.122618503426409, -69.5770653957766 -0.549991957200163, -70.02065589057005 -0.185156345219539, -70.01556576198931 0.541414292804205, -69.45239600287246 0.706158758950693, -69.25243404811906 0.602650865070075, -69.21863766140018 0.985676581217433, -69.80459672715773 1.089081122233466, -69.81697323269162 1.714805202639624, -67.86856502955884 1.692455145673392, -67.5378100246747 2.03716278727633, -67.2599975246736 1.719998684084956, -67.0650481838525 1.130112209473225, -66.87632585312258 1.253360500489336, -66.32576514348496 0.724452215982012, -65.54826738143757 0.78925446207603, -65.35471330428837 1.0952822941085, -64.61101192895987 1.328730576987042, -64.19930579289051 1.49285492594602, -64.08308549666609 1.91636912679408, -63.368788011311665 2.200899562993129, -63.42286739770512 2.411067613124175, -64.2699991522658 2.497005520025567, -64.40882788761792 3.126786200366624, -64.3684944322141 3.797210394705246, -64.81606401229402 4.056445217297423, -64.62865943058755 4.14848094320925, -63.88834286157416 4.020530096854571, -63.093197597899106 3.770571193858785, -62.804533047116706 4.006965033377952, -62.08542965355913 4.162123521334308, -60.96689327660154 4.536467596856639, -60.601179165271944 4.91809804933213, -60.73357418480372 5.200277207861901, -60.21368343773133 5.244486395687602, -59.980958624904886 5.014061184098139, -60.11100236676738 4.574966538914083, -59.767405768458715 4.423502915866607, -59.53803992373123 3.958802598481938, -59.815413174057866 3.606498521332085, -59.97452490908456 2.755232652188056, -59.71854570172675 2.24963043864436, -59.64604366722126 1.786893825686789, -59.03086157900265 1.317697658692722, -58.540012986878295 1.268088283692521, -58.429477098205965 1.463941962078721, -58.11344987652502 1.507195135907025, -57.66097103537737 1.682584947105639, -57.335822923396904 1.948537705895759, -56.78270423036083 1.863710842288654, -56.539385748914555 1.899522609866921, -55.995698004771754 1.817667141116601, -55.905600145070885 2.02199575439866, -56.0733418442903 2.220794989425499, -55.973322109589375 2.510363877773017, -55.569755011606 2.421506252447131, -55.09758744975514 2.523748073736613, -54.524754197799716 2.311848863123785, -54.08806250671725 2.105556545414629, -53.77852067728892 2.376702785650082, -53.554839240113544 2.334896551925951, -53.41846513529531 2.053389187015981, -52.939657151894956 2.124857692875636, -52.55642473001842 2.504705308437053, -52.249337531123956 3.241094468596245, -51.65779741067889 4.156232408053029, -51.31714636901086 4.203490505383954, -51.069771287629656 3.650397650564031, -50.508875291533656 1.901563828942457, -49.97407589374506 1.736483465986069, -49.94710079608871 1.046189683431223, -50.699251268096916 0.222984117021682, -50.38821082213214 -0.078444512536819, -48.62056677915632 -0.235489190271821, -48.58449662941659 -1.237805271005001, -47.824956427590635 -0.5816179337628, -46.566583624851226 -0.941027520352776, -44.905703090990414 -1.551739597178134, -44.417619187993665 -2.137750339367976, -44.58158850765578 -2.691308282078524, -43.418791266440195 -2.383110039889793, -41.47265682632825 -2.912018324397116, -39.97866533055404 -2.873054294449041, -38.50038347019657 -3.700652357603396, -37.2232521225352 -4.820945733258917, -36.45293738457639 -5.109403578312154, -35.59779578301047 -5.149504489770649, -35.23538896334756 -5.464937432480247, -34.89602983248683 -6.738193047719711, -34.729993455533034 -7.343220716992967, -35.12821204277422 -8.996401462442286, -35.636966518687714 -9.649281508017815, -37.046518724097 -11.040721123908803, -37.68361161960736 -12.171194756725823, -38.42387651218844 -13.038118584854288, -38.67388709161652 -13.057652276260619, -38.953275722802545 -13.793369642800023, -38.88229814304965 -15.667053724838768, -39.16109249526431 -17.208406670808472, -39.2673392400564 -17.867746270420483, -39.58352149103423 -18.262295830968938, -39.76082333022764 -19.59911345792741, -40.77474077001034 -20.904511814052423, -40.94475623225061 -21.93731698983781, -41.754164191238225 -22.370675551037458, -41.98828426773656 -22.970070489190896, -43.07470374202475 -22.96769337330547, -44.64781185563781 -23.351959323827842, -45.35213578955992 -23.796841729428582, -46.47209326840554 -24.088968601174543, -47.64897233742066 -24.885199069927722, -48.4954581365777 -25.877024834905654, -48.64100480812774 -26.623697605090932, -48.474735887228654 -27.17591196056189, -48.661520351747626 -28.18613453543572, -48.8884574041574 -28.674115085567884, -49.587329474472675 -29.224469089476337, -50.696874152211485 -30.98446502047296, -51.576226162306156 -31.77769825615321, -52.256081305538046 -32.24536996839467, -52.712099982297694 -33.19657805759118, -53.373661668498244 -33.768377780900764))"
506,498,Argentina,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2018,
507,499,Guatemala,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2018,"POLYGON ((-92.22775000686983 14.538828640190928, -92.20322953974733 14.830102850804069, -92.08721594925207 15.064584662328441, -92.2292486234063 15.251446641495875, -91.74796017125595 16.066564846251765, -90.46447262242266 16.069562079324655, -90.43886695022204 16.410109768128095, -90.60084672724093 16.47077789963879, -90.71182186558772 16.687483018454728, -91.08167009150065 16.918476670799407, -91.45392127151516 17.252177232324172, -91.00226925328421 17.25465770107418, -91.00151994501596 17.81759491624571, -90.06793351923098 17.819326076727478, -89.14308041050333 17.808318996649405, -89.15080603713095 17.015576687075836, -89.22912167026928 15.886937567605171, -88.93061275913527 15.887273464415076, -88.60458614780585 15.70638011317736, -88.51836402052686 15.855389105690975, -88.22502275262202 15.727722479713904, -88.68067969435563 15.346247056535304, -89.15481096063357 15.06641917567481, -89.22522009963127 14.874286200413621, -89.14553504103719 14.678019110569153, -89.35332597528281 14.424132798719086, -89.58734269891656 14.36258616785949, -89.53421932652051 14.244815578666305, -89.72193396682073 14.134228013561696, -90.0646779039966 13.881969509328925, -90.09555457229098 13.735337632700734, -90.60862403030085 13.909771429901951, -91.23241024449605 13.927832342987957, -91.68974667027913 14.126218166556455, -92.22775000686983 14.538828640190928))"
508,500,Uruguay,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2018,"POLYGON ((-57.62513342958296 -30.21629485445426, -56.976025763564735 -30.109686374636127, -55.97324459494094 -30.883075860316303, -55.601510179249345 -30.853878676071393, -54.57245154480512 -31.494511407193748, -53.78795162618219 -32.047242526987624, -53.209588995971544 -32.727666110974724, -53.6505439927181 -33.20200408298183, -53.373661668498244 -33.768377780900764, -53.806425950726535 -34.39681487400223, -54.93586605489773 -34.952646579733624, -55.67408972840329 -34.75265878676407, -56.21529700379607 -34.85983570733742, -57.1396850246331 -34.430456231424245, -57.81786068381551 -34.4625472958775, -58.42707414410439 -33.909454441057576, -58.349611172098875 -33.26318897881541, -58.13264767112145 -33.040566908502015, -58.14244035504076 -32.044503676076154, -57.87493730328188 -31.016556084926208, -57.62513342958296 -30.21629485445426))"
509,501,Qatar,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,2018,"POLYGON ((50.81010827006958 24.754742539971378, 50.74391076030369 25.482424221289396, 51.013351678273494 26.006991685484195, 51.28646162293606 26.11458201751587, 51.58907881043726 25.80111277923338, 51.60670047384881 25.21567047779874, 51.38960778179063 24.62738597258806, 51.11241539897702 24.556330878186724, 50.81010827006958 24.754742539971378))"
510,502,Saudi Arabia,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2018,"POLYGON ((34.95603722508426 29.356554673778845, 36.06894087092206 29.197494615184453, 36.50121422704359 29.505253607698705, 36.74052778498725 29.86528331147619, 37.503581984209035 30.003776150018407, 37.66811974462638 30.3386652694859, 37.998848911294374 30.508499864213135, 37.00216556168101 31.508412990844747, 39.00488569515255 32.01021698661498, 39.19546837744497 32.16100881604267, 40.399994337736246 31.889991766887935, 41.889980910007836 31.19000865327837, 44.70949873228474 29.178891099559383, 46.568713413281756 29.09902517345229, 47.45982181172283 29.002519436147224, 47.708850538937384 28.526062730416143, 48.416094191283946 28.55200429942667, 48.80759484232718 27.689627997339883, 49.29955447774583 27.46121816660981, 49.47091352722566 27.109999294538085, 50.15242231629088 26.689663194275997, 50.212935418504685 26.277026882425375, 50.11330325704594 25.94397227630425, 50.239858839728754 25.608049628190926, 50.527386509000735 25.327808335872103, 50.66055667501689 24.999895534764022, 50.81010827006958 24.754742539971378, 51.11241539897702 24.556330878186724, 51.38960778179063 24.62738597258806, 51.57951867046327 24.245497137951105, 51.61770755392698 24.01421926522883, 52.000733270074335 23.00115448657894, 55.006803012924905 22.496947536707136, 55.208341098863194 22.708329982997046, 55.666659376859826 22.00000112557234, 54.99998172386236 19.999994004796108, 52.00000980002224 19.000003363516058, 49.11667158386487 18.616667588774945, 48.18334354024134 18.166669216377315, 47.46669477721763 17.116681626854884, 47.000004917189756 16.949999294497445, 46.74999433776165 17.283338120996177, 46.366658563020536 17.233315334537636, 45.39999922056876 17.333335069238558, 45.21665123879719 17.433328965723334, 44.06261315285508 17.410358791569593, 43.79151858905192 17.31997671149111, 43.380794305196105 17.57998668056767, 43.11579756040336 17.088440456607373, 43.21837527850275 16.66688996018641, 42.77933230975097 16.347891343648683, 42.649572788266084 16.774635321514964, 42.34798912941071 17.075805568912003, 42.270887892431226 17.474721787989125, 41.75438195167396 17.833046169500975, 41.22139122901558 18.67159963630121, 40.93934126156654 19.486485297111756, 40.247652215339826 20.17463450772649, 39.80168460466095 20.338862209550058, 39.139399448408284 21.291904812092934, 39.023695916506796 21.986875311770195, 39.06632897314759 22.57965566659027, 38.49277225114008 23.688451036060854, 38.02386030452362 24.078685614512935, 37.483634881344386 24.285494696545015, 37.154817742671185 24.85848297779731, 37.209491408036 25.084541530858107, 36.93162723160259 25.60295949961018, 36.639603712721225 25.826227525327223, 36.249136590323815 26.57013560638488, 35.64018151219639 27.376520494083422, 35.13018680190788 28.06335195567472, 34.63233605320798 28.058546047471566, 34.787778761541944 28.6074272730597, 34.832220493312946 28.957483425404845, 34.95603722508426 29.356554673778845))"
511,503,Singapore,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,2018,
512,504,Malaysia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2018,
513,505,Spain,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,2018,"POLYGON ((-7.453725551778092 37.09778758396607, -7.537105475281024 37.42890432387624, -7.166507941099865 37.803894354802225, -7.029281175148796 38.07576406508977, -7.374092169616318 38.37305858006492, -7.098036668313128 39.03007274022379, -7.498632371439726 39.62957103124181, -7.066591559263529 39.711891587882775, -7.026413133156595 40.184524237624245, -6.864019944679385 40.33087189387483, -6.851126674822552 41.11108266861753, -6.389087693700915 41.381815497394655, -6.668605515967656 41.883386949219584, -7.251308966490824 41.91834605566505, -7.422512986673795 41.79207469335984, -8.013174607769912 41.790886135417125, -8.263856980817792 42.28046865495034, -8.67194576662672 42.13468943945496, -9.034817674180246 41.880570583659676, -8.984433152695672 42.59277517350627, -9.392883673530648 43.0266246608127, -7.97818966310831 43.74833771420099, -6.754491746436756 43.567909450853925, -5.411886359061597 43.57423981380968, -4.347842779955783 43.40344920508504, -3.517531704106091 43.4559007838613, -1.901351284177764 43.42280202897834, -1.502770961910528 43.03401439063043, 0.338046909190581 42.57954600683955, 0.701590610363894 42.795734361332606, 1.826793247087153 42.34338471126569, 2.985998976258458 42.47301504166986, 3.039484083680549 41.892120266276905, 2.091841668312185 41.226088568683096, 0.810524529635188 41.01473196060934, 0.721331007499401 40.678318386389236, 0.106691521819869 40.12393362076202, -0.278711310212941 39.30997813573272, 0.111290724293838 38.73851430923304, -0.467123582349103 38.29236583104115, -0.683389451490598 37.642353827457825, -1.438382127274849 37.44306366632422, -2.146452602538119 36.67414419203729, -3.415780808923387 36.65889964451118, -4.368900926114719 36.677839056946155, -4.995219285492212 36.32470815687964, -5.377159796561457 35.946850083961465, -5.866432257500904 36.02981659600606, -6.236693894872175 36.367677110330334, -6.520190802425404 36.94291331638732, -7.453725551778092 37.09778758396607))"
